class,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,4.394957983,7.117647059,-3,-13,-24,0.341954023,0.024956958,0.336617543,238,43,42,98
0,9.881355932,15.37288136,1,-17,-28,0.45210728,0.262520411,0.010958607,118,43,42,98
0,15.25316456,23.4556962,0,-16,-27,0.422459893,0.210765575,0.081905652,79,43,42,98
0,0.666666667,13.54022989,0,1,-2,0.309608541,0.189734717,0.140554355,87,43,42,98
0,0.206349206,19.07936508,1,0,-3,0.254032258,0.112173246,0.047472137,63,43,42,98
0,8.185185185,45.85185185,1,-2,-3,0.275510204,0.171134302,0.034185637,27,43,42,98
0,1.101694915,9.720338983,1,-2,-3,0.163434903,0.397259419,0.628120477,118,43,42,98
0,0.358974359,31.43589744,1,0,-3,0.3,0.218390805,0.113027626,39,43,42,98
0,2.076923077,3.576923077,1,-1,0,0.245283019,0.26376107,0.132104032,26,43,42,99
0,0,0.269230769,0,0,0,0.440677966,0,0.170072115,26,43,42,99
0,0,3.53125,1,0,0,0.31372549,0,0.213966837,32,43,42,99
0,0,4.576923077,1,0,0,0.337662338,0,0.269688645,26,43,42,99
0,0,22.74193548,0,0,-1,0.46969697,0,0.606091568,31,43,42,99
0,0.888888889,12.62962963,1,0,-2,0.13202934,0.082010582,0.401336983,54,43,42,99
0,0,16.11627907,1,0,-2,0.3359375,0,0.449249944,43,43,42,99
0,0.497797357,0.546255507,-11,-16,-8,0.352954243,0.497797357,0.449654788,1589,66,64,152
0,1.032608696,1.419836957,-1,-1,-6,0.185017597,0.630513691,0.870600741,736,66,64,153
0,11.57142857,13.96638655,1,-3,-8,0.212880143,0.417105983,0.625769546,119,66,64,153
0,0.566037736,0.641509434,0,0,0,0.469026549,0.255051519,0.344134537,53,66,64,153
0,28.92,34.62,1,-3,-8,0.310559006,0.028610607,0.114422853,50,66,64,153
0,0.757575758,1.181818182,0,0,0,0.515625,0.222661397,0.568947906,33,66,64,153
0,9.317241379,11.28275862,1,-3,-8,0.246598639,0.223338966,0.403471059,145,66,64,153
0,0.119047619,0.27484472,-27,25,26,0.457061746,0.119047619,0.223885676,1932,66,64,153
0,0.612648221,0.94229249,-2,-12,-17,0.266091712,0.612648221,0.922877655,1265,66,64,152
